academy,ακαδημία
acronym,ακρωνύμιο
algorithm,αλγόριθμος
analysis,ανάλυση
anthropology,ανθρωπολογία
aphorism,αφορισμός
architecture,αρχιτεκτονική
astronomy,αστρονομία
athlete,αθλητής
autonomy,αυτονομία
autopsy,αυτοψία
biology,βιολογία
catastrophe,καταστροφή
chaos,χάος
character,χαρακτήρας
chemistry,χημεία
cinema,κινηματογράφος
climate,κλίμα
comedy,κωμωδία
cosmos,κόσμος
cynic,κυνικός
democracy,δημοκρατία
demography,δημογραφία
dialogue,διάλογος
dilemma,δίλημμα
dogma,δόγμα
drama,δράμα
dynamics,δυναμική
economics,οικονομικά
economy,οικονομία
ellipsis,έλλειψη
empathy,ενσυναίσθηση
epic,έπος
epidemic,επιδημία
ethics,ηθική
eulogy,επικήδειος
evangelist,ευαγγελιστής
genesis,γένεση
geography,γεωγραφία
gymnasium,γυμναστήριο
harmony,αρμονία
helium,ήλιον
hemisphere,ημισφαίριο
hero,ήρωας
hierarchy,ιεραρχία
hologram,ολογράμμα
hydra,ύδρα
hydrogen,υδρογόνο
hyperactive,υπερκινητικός
hyperbole,υπερβολή
hyperlink,υπερσύνδεσμος
hypnosis,ύπνωση
hypochondria,υποχονδρία
hypotension,υπόταση
hypothermia,υποθερμία
hypothesis,υπόθεση
ideology,ιδεολογία
idiom,ιδίωμα
irony,ειρωνεία
lexicon,λεξικό
litany,λιτανεία
logistics,λογιστική
marathon,μαραθώνιος
martyr,μάρτυρας
melody,μελωδία
metaphor,μεταφορά
metropolis,μητρόπολη
microbe,μικρόβιο
microphone,μικρόφωνο
microscope,μικροσκόπιο
mimic,μιμητικός
mirage,οφθαλμαπάτη
misanthrope,μισάνθρωπος
misogynist,μισογύνης
monarch,μονάρχης
monastery,μοναστήρι
monk,μοναχός
monogram,μονόγραμμα
monologue,μονόλογος
monopoly,μονοπώλιο
monotone,μονότονος
morphine,μορφίνη
morphology,μορφολογία
museum,μουσείο
musician,μουσικός
myriad,μυριάδα
myth,μύθος
mythology,μυθολογία
nectar,νέκταρ
nemesis,νέμεσις
neologism,νεολογισμός
neonatal,νεογνικός
neophyte,νεοφώτιστος
neurology,νευρολογία
neuron,νευρώνας
neurosis,νεύρωση
nostalgia,νοσταλγία
nymph,νύμφη
obesity,παχυσαρκία
octopus,χταπόδι
odyssey,οδύσσεια
oligarchy,ολιγαρχία
ophthalmology,οφθαλμολογία
optics,οπτική
optimism,αισιοδοξία
oracle,χρησμός
orchestra,ορχήστρα
organism,οργανισμός
orthodox,ορθόδοξος
panorama,πανόραμα
paradigm,παράδειγμα
paradise,παράδεισος
paradox,παράδοξο
paralysis,παράλυση
paranoia,παράνοια
parasite,παράσιτο
parenthesis,παρένθεση
parody,παρωδία
pathogen,παθογόνος
pathology,παθολογία
patriarch,πατριάρχης
patriot,πατριώτης
pediatrician,παιδίατρος
peninsula,χερσόνησος
perimeter,περίμετρος
periphery,περιφέρεια
personality,προσωπικότητα
pessimism,απαισιοδοξία
pharaoh,Φαραώ
pharmacy,φαρμακείο
phase,φάση
phenomenon,φαινόμενο
philanthropist,φιλάνθρωπος
philanthropy,φιλανθρωπία
philosopher,φιλόσοφος
philosophy,φιλοσοφία
phobia,φοβία
phonetics,φωνητική
phosphorus,φωσφόρος
photography,φωτογραφία
photosynthesis,φωτοσύνθεση
physical,φυσικός
physician,ιατρός
physicist,φυσικός
physics,φυσική
physiology,φυσιολογία
planet,πλανήτης
plasma,πλάσμα
plutocracy,πλουτοκρατία
pneumatic,πνευματικός
pneumonia,πνευμονία
poetry,ποίηση
politics,πολιτική
polyglot,πολύγλωσσος
polygon,πολύγωνο
polytheism,πολυθεϊσμός
pragmatism,πραγματισμός
praxis,πράξη
protagonist,πρωταγωνιστής
protocol,πρωτόκολλο
prototype,πρωτότυπο
psyche,ψυχή
psychiatry,ψυχιατρική
psychoanalysis,ψυχανάλυση
psychology,ψυχολογία
psychopath,ψυχοπαθής
quarantine,καραντίνα
rhapsody,ραψωδία
rhetoric,ρητορική
rhythm,ρυθμός
sarcophagus,σαρκοφάγος
scandal,σκάνδαλο
schema,σχέδιο
schism,σχίσμα
skeleton,σκελετός
skeptic,σκεπτικός
sociology,κοινωνιολογία
sophist,σοφιστής
sophomore,δευτεροετής
spectrum,φάσμα
spherical,σφαιρικός
stadium,στάδιο
stasis,στάση
stereotype,στερεότυπο
strategy,στρατηγική
symbiosis,συμβίωση
symmetry,συμμετρία
sympathy,συμπάθεια
symphony,συμφωνία
synagogue,συναγωγή
syndrome,σύνδρομο
synergy,συνεργία
synonym,συνώνυμο
syntax,σύνταξη
synthesis,σύνθεση
tactics,τακτική
taxonomy,ταξονομία
technology,τεχνολογία
telepathy,τηλεπάθεια
telephone,τηλέφωνο
telescope,τηλεσκόπιο
television,τηλεόραση
temperature,θερμοκρασία
temple,ναός
theatre,θέατρο
theocracy,θεοκρατία
theology,θεολογία
therapist,θεραπευτής
thermometer,θερμόμετρο
thesis,θέση
titanic,τιτανικός
topography,τοπογραφία
toxic,τοξικός
tragedy,τραγωδία
triangle,τρίγωνο
trope,τροπή
tropics,τροπικοί
typhoon,τυφώνας
typography,τυπογραφία
utensil,συσκευή
utopia,ουτοπία
vaccine,εμβόλιο
virus,ιός
xenophobia,ξενοφοβία
zeal,ζήλος
zealot,φανατικός
zen,ζεν
zenith,ζενίθ
zephyr,Ζέφυρος
zephyr,ζέφυρος
zero,μηδέν
zest,ζήλος
zinc,ψευδάργυρος
zodiac,ζωδιακός
zone,ζώνη
zoological,ζωολογικός
zoology,ζωολογία
zoom,ζουμ
zygote,ζυγώτης
